sku,name,brand,id,image_src
130690-410,AJ12 Obsidian,AJ12,,../static/images/130690-410.png
130690-617,AJ12 Bordeaux,AJ12,,../static/images/130690-617.png
151186-006,PS AJ12 Playoff,TD/PS,,../static/images/151186-006.png
151186-015,PS AJ12 Stealth,TD/PS,,../static/images/151186-015.png
153265-006,AJ12 Playoff GS,AJ12,,../static/images/153265-006.png
153265-170,AJ12 Taxi GS,AJ12,,../static/images/153265-170.png
302370-121,AJ9 Kobe Bryant PE,AJ9,,../static/images/302370-121.png
304292-043,SB Dunk Low Concord,Dunk SB,,../static/images/304292-043.png
305050-661,SB Dunk Low Concepts Red Lobster,Dunk SB,,../static/images/305050-661.png
305050-731,SB Dunk High Marge Simpson,Dunk SB,,../static/images/305050-731.png
308497-060,AJ4 Bred,AJ4 Men,,../static/images/308497-060.png
310805-408,AJ10 Tinker,AJ10,,../static/images/310805-408.png
313170-811,SB Dunk Low Orange Box,Dunk SB,,../static/images/313170-811.png
313171-039,SB Dunk High Silver Box,Dunk SB,,../static/images/313171-039.png
376682-01,Puma Rick and Morty,Other,,../static/images/376682-01.png
378037-061,AJ11 Playoff Bred,AJ11,,../static/images/378037-061.png
378038-003,AJ11 Space Jam GS,AJ11,,../static/images/378038-003.png
378038-005,AJ11 Cool Grey GS,AJ11,,../static/images/378038-005.png
378038-011,AJ11 Jubilee GS,AJ11,,../static/images/378038-011.png
378038-061,AJ11 Playoff Bred GS,AJ11,,../static/images/378038-061.png
378039-005,PS AJ11 Cool Grey,TD/PS,,../static/images/378039-005.png
384664-113,AJ6 Alternate Hare,AJ5-6 Men,,../static/images/384664-113.png
384665-012,AJ6 Georgetown GS,AJ5-6 GS,,../static/images/384665-012.png
384665-063,AJ6 Bordeaux GS,AJ5-6 GS,,../static/images/384665-063.png
384665-410,AJ6 UNC GS,AJ5-6 GS,,../static/images/384665-410.png
398614-030,AJ3 Pine Green GS,AJ2-3,,../static/images/398614-030.png
398614-126,AJ3 Cardinal GS,AJ2-3,,../static/images/398614-126.png
408452-016,AJ4 Red Thunder GS,AJ4 GS,,../static/images/408452-016.png
408452-061,AJ4 Infrared GS,AJ4 GS,,../static/images/408452-061.png
408452-111,AJ4 Military GS,AJ4 GS,,../static/images/408452-111.png
408452-400,AJ4 UNC GS,AJ4 GS,,../static/images/408452-400.png
408452-700,AJ4 Lightning GS,AJ4 GS,,../static/images/408452-700.png
414571-144,AJ13 Obsidian Blue,AJ13,,../static/images/414571-144.png
414571-167,AJ13 Del Sol,AJ13,,../static/images/414571-167.png
440888-004,AJ5 Racer Blue GS,AJ5-6 GS,,../static/images/440888-004.png
440888-300,AJ5 Jade Horizon GS,AJ5-6 GS,,../static/images/440888-300.png
440889-004,PS AJ5 Racer Blue,TD/PS,,../static/images/440889-004.png
487471-701,AJ14 Light Ginger,AJ14,,../static/images/487471-701.png
504750-061,SB Dunk Low Disposable,Dunk SB,,../static/images/504750-061.png
504750-660,SB Dunk Low Rukus Crawfish,Dunk SB,,../static/images/504750-660.png
505836-117,TD AJ11 Legend Blue,TD/PS,,../static/images/505836-117.png
528895-033,AJ11 Green Snakeskin,AJ11,,../static/images/528895-033.png
553558-052,AJ1 Low Shadow Toe,AJ1 Low Men,,../static/images/553558-052.png
553558-163,AJ1 Low Bulls,AJ1 Low Men,,../static/images/553558-163.png
553558-612,AJ1 Low Bred Toe,AJ1 Low Men,,../static/images/553558-612.png
553560-052,GS AJ1 Low Shadow Toe,AJ1 Low GS,,../static/images/553560-052.png
553560-062,GS AJ1 Low Black Grey Pink,AJ1 Low GS,,../static/images/553560-062.png
553560-606,GS AJ1 Low Reverse Bred,AJ1 Low GS,,../static/images/553560-606.png
553560-612,GS AJ1 Low Bred Toe,AJ1 Low GS,,../static/images/553560-612.png
554724-082,AJ1 Mid Linen,AJ1 Mid Men,,../static/images/554724-082.png
554724-096,AJ1 Mid Shadow Red,AJ1 Mid Men,,../static/images/554724-096.png
554724-371,AJ1 Mid Sonics,AJ1 Mid Men,,../static/images/554724-371.png
554724-441,AJ1 Mid Navy,AJ1 Mid Men,,../static/images/554724-441.png
