sku,name,brand,sub_brand,category,id,image_src
130690-410,AJ12 Obsidian,Air Jordan,AJ12,Men,,
130690-617,AJ12 Bordeaux,Air Jordan,AJ12,Men,,
151186-006,PS AJ12 Playoff,Air Jordan,AJ12,PS,,
151186-015,PS AJ12 Stealth,Air Jordan,AJ12,PS,,
153265-006,AJ12 Playoff GS,Air Jordan,AJ12,GS,,
153265-170,AJ12 Taxi GS,Air Jordan,AJ12,GS,,
302370-121,AJ9 Kobe Bryant PE,Air Jordan,AJ9,Men,,
304292-043,SB Dunk Low Concord,Nike,Dunk,Men,,
305050-661,SB Dunk Low Concepts Red Lobster,Nike,Dunk,Men,,
305050-731,SB Dunk High Marge Simpson,Nike,Dunk,Men,,
308497-060,AJ4 Bred,Air Jordan,AJ4,Men,,
310805-408,AJ10 Tinker,Air Jordan,AJ10,Men,,
313170-811,SB Dunk Low Orange Box,Nike,Dunk,Men,,
313171-039,SB Dunk High Silver Box,Nike,Dunk,Men,,
378037-061,AJ11 Playoff Bred,Air Jordan,AJ11,Men,,
378038-003,AJ11 Space Jam GS,Air Jordan,AJ11,GS,,
378038-005,AJ11 Cool Grey GS,Air Jordan,AJ11,GS,,
378038-011,AJ11 Jubilee GS,Air Jordan,AJ11,GS,,
378038-061,AJ11 Playoff Bred GS,Air Jordan,AJ11,GS,,
378039-005,PS AJ11 Cool Grey,Air Jordan,AJ11,PS,,
384664-113,AJ6 Alternate Hare,Air Jordan,AJ6,Men,,
384665-012,AJ6 Georgetown GS,Air Jordan,AJ6,GS,,
384665-063,AJ6 Bordeaux GS,Air Jordan,AJ6,GS,,
384665-410,AJ6 UNC GS,Air Jordan,AJ6,GS,,
398614-030,AJ3 Pine Green GS,Air Jordan,AJ3,GS,,
398614-126,AJ3 Cardinal GS,Air Jordan,AJ3,GS,,
408452-016,AJ4 Red Thunder GS,Air Jordan,AJ4,GS,,
408452-061,AJ4 Infrared GS,Air Jordan,AJ4,GS,,
408452-111,AJ4 Military GS,Air Jordan,AJ4,GS,,
408452-400,AJ4 UNC GS,Air Jordan,AJ4,GS,,
408452-700,AJ4 Lightning GS,Air Jordan,AJ4,GS,,
414571-144,AJ13 Obsidian Blue,Air Jordan,AJ13,Men,,
414571-167,AJ13 Del Sol,Air Jordan,AJ13,Men,,
440888-004,AJ5 Racer Blue GS,Air Jordan,AJ5,GS,,
440888-300,AJ5 Jade Horizon GS,Air Jordan,AJ5,GS,,
440889-004,PS AJ5 Racer Blue,Air Jordan,AJ5,PS,,
487471-701,AJ14 Light Ginger,Air Jordan,AJ14,Men,,
504750-061,SB Dunk Low Disposable,Nike,Dunk,Men,,
504750-660,SB Dunk Low Rukus Crawfish,Nike,Dunk,Men,,
505836-117,TD AJ11 Legend Blue,Air Jordan,AJ11,TD,,
528895-033,AJ11 Green Snakeskin,Air Jordan,AJ11,Men,,
553558-052,AJ1 Low Shadow Toe,Air Jordan,AJ1,Men,,
553558-163,AJ1 Low Bulls,Air Jordan,AJ1,Men,,
553558-612,AJ1 Low Bred Toe,Air Jordan,AJ1,Men,,
553560-052,GS AJ1 Low Shadow Toe,Air Jordan,AJ1,GS,,
553560-062,GS AJ1 Low Black Grey Pink,Air Jordan,AJ1,GS,,
553560-606,GS AJ1 Low Reverse Bred,Air Jordan,AJ1,GS,,
553560-612,GS AJ1 Low Bred Toe,Air Jordan,AJ1,GS,,
554724-082,AJ1 Mid Linen,Air Jordan,AJ1,Men,,
554724-096,AJ1 Mid Shadow Red,Air Jordan,AJ1,Men,,
554724-371,AJ1 Mid Sonics,Air Jordan,AJ1,Men,,
554724-441,AJ1 Mid Navy,Air Jordan,AJ1,Men,,
554724-701,AJ1 Mid Taxi,Air Jordan,AJ1,Men,,
554725-016,GS AJ1 Mid Very Berry,Air Jordan,AJ1,GS,,
554725-069,GS AJ1 Mid Chicago Toe,Air Jordan,AJ1,GS,,
554725-074,GS AJ1 Mid Banned,Air Jordan,AJ1,GS,,
554725-075,GS AJ1 Mid Black Chile Red,Air Jordan,AJ1,GS,,
554725-096,GS AJ1 Mid Shadow Red,Air Jordan,AJ1,GS,,
554725-201,GS AJ1 Mid Curry Cardinal,Air Jordan,AJ1,GS,,
554725-411,GS AJ1 Mid Navy,Air Jordan,AJ1,GS,,
554725-665,GS AJ1 Mid Reverse Bred,Air Jordan,AJ1,GS,,
555088-013,AJ1 High Shadow 1.0,Air Jordan,AJ1,Men,,
555088-028,AJ1 High Shattered 3.0,Air Jordan,AJ1,Men,,
555088-030,AJ1 High Pine Green,Air Jordan,AJ1,Men,,
555088-032,AJ1 High Metallic Gold,Air Jordan,AJ1,Men,,
555088-035,AJ1 High Shadow 2.0,Air Jordan,AJ1,Men,,
555088-041,AJ1 High Royal Toe,Air Jordan,AJ1,Men,,
555088-061,AJ1 High Gym Red,Air Jordan,AJ1,Men,,
555088-062,AJ1 High Bloodline,Air Jordan,AJ1,Men,,
555088-063,AJ1 High Patent Bred,Air Jordan,AJ1,Men,,
555088-105,AJ1 High Dark Mocha,Air Jordan,AJ1,Men,,
555088-108,AJ1 High Bleached Coral,Air Jordan,AJ1,Men,,
555088-118,AJ1 High Volt,Air Jordan,AJ1,Men,,
555088-126,AJ1 High Light Smoke Grey,Air Jordan,AJ1,Men,,
555088-134,AJ1 High University Blue Black,Air Jordan,AJ1,Men,,
555088-140,AJ1 High Obsidian UNC,Air Jordan,AJ1,Men,,
555088-161,AJ1 High Heritage,Air Jordan,AJ1,Men,,
555088-180,AJ1 High Electro Orange,Air Jordan,AJ1,Men,,
555088-201,AJ1 High Tokyo Bio,Air Jordan,AJ1,Men,,
555088-311,AJ1 High Turbo Green,Air Jordan,AJ1,Men,,
555088-402,AJ1 High Hyper Royal,Air Jordan,AJ1,Men,,
555088-404,AJ1 High Marina Blue,Air Jordan,AJ1,Men,,
555088-603,AJ1 High Fusion Red,Air Jordan,AJ1,Men,,
555088-611,AJ1 High Bordeaux,Air Jordan,AJ1,Men,,
555088-701,AJ1 High Pollen,Air Jordan,AJ1,Men,,
555088-702,GS AJ1 High Brotherhood,Air Jordan,AJ1,GS,,
555088-706,AJ1 High Brotherhood,Air Jordan,AJ1,Men,,
575441-029,GS AJ1 High CO Japan,Air Jordan,AJ1,GS,,
575441-030,GS AJ1 High Pine Green,Air Jordan,AJ1,GS,,
575441-032,GS AJ1 High Metallic Gold,Air Jordan,AJ1,GS,,
575441-035,GS AJ1 High Shadow 2.0,Air Jordan,AJ1,GS,,
575441-037,GS AJ1 High Stealth,Air Jordan,AJ1,GS,,
575441-063,GS AJ1 High Patent Bred,Air Jordan,AJ1,GS,,
575441-108,GS AJ1 High Bleached Coral,Air Jordan,AJ1,GS,,
575441-126,GS AJ1 High Light Smoke Grey,Air Jordan,AJ1,GS,,
575441-134,GS AJ1 High UNC,Air Jordan,AJ1,GS,,
575441-201,GS AJ1 High Tokyo Bio,Air Jordan,AJ1,GS,,
575441-402,GS AJ1 High Hyper Royal,Air Jordan,AJ1,GS,,
