id,product,price,stockx_price,size,added_on,storage_loc,storage_addr
2022-12-10-000001,CW1589-100,166.0,66,4c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000002,CW1589-100,166.0,66,4c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000003,CW1589-100,166.0,66,4c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000004,CW1589-100,169.0,69,5c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000005,CW1589-100,169.0,69,5c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000006,CW1589-100,169.0,69,5c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000007,CW1589-100,169.0,69,5c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000008,CW1589-100,163.0,63,6c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000009,CW1589-100,166.0,66,7c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000010,CW1589-100,166.0,66,7c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000011,CW1589-100,166.0,66,7c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000012,CW1589-100,166.0,66,7c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000013,CW1589-100,166.0,66,7c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000014,CW1589-100,166.0,66,7c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000015,CW1589-100,164.0,64,8c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000016,CW1589-100,164.0,64,9c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000017,CW1589-100,164.0,64,9c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000018,CW1589-100,164.0,64,9c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000019,CW1589-100,163.0,63,10c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000020,CW1589-100,163.0,63,10c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000021,CW1589-100,163.0,63,10c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000022,CW1588-100,175.0,75,12c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000023,CW1588-100,175.0,75,12c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000024,CW1588-100,175.0,75,12c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000025,CW1588-100,173.0,73,13c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000026,CW1588-100,179.0,79,1Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000027,CW1588-100,179.0,79,1Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000028,CW1588-100,176.0,76,2Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000029,CW1588-100,176.0,76,2Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000030,CW1588-100,176.0,76,2Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000031,CW1588-100,176.0,76,2Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000032,CW1588-100,176.0,76,2Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000033,CW1588-100,176.0,76,2Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000034,CW1588-100,176.0,76,2Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000035,CW1588-100,180.0,80,2.5Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000036,CW1588-100,189.0,89,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000037,CW1588-100,189.0,89,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000038,CW1588-100,189.0,89,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000039,CW1588-100,189.0,89,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000040,CW1588-100,189.0,89,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000041,CW1588-100,189.0,89,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000042,CW1588-100,189.0,89,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000043,CW1588-100,189.0,89,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000044,CW1588-100,189.0,89,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000045,DC9562-100,154.0,54,6c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000046,DC9562-111,174.0,74,9c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000047,DC9564-111,178.0,78,12c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000048,DC9564-111,178.0,78,12c,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000049,DC9564-111,190.0,90,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000050,DC9564-111,190.0,90,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000051,DC9564-100,175.0,75,2Y,2022-12-10 02:23:54,N/A,Kickz Maryland
2022-12-10-000052,DH9756-001,199.0,99,3Y,2022-12-10 02:23:54,N/A,Kickz Maryland
